utc_time_hb,CF_model_solar,CF_hsl_solar,CF_wind_agg,DAH,RT5min,CF_hsl_wind_sr,utc_time,local_time_hb,year
1/1/2018 6:00,0,0,0.090525382,27.51,27.6931,0.061535791,2018-01-01T06:00:00Z,1/1/2018 0:00,2018
1/1/2018 7:00,0,0,0.089739166,25.85,27.72,0.049287164,2018-01-01T07:00:00Z,1/1/2018 1:00,2018
1/1/2018 8:00,0,0,0.085443818,26.07,27.4275,0.087305233,2018-01-01T08:00:00Z,1/1/2018 2:00,2018
1/1/2018 9:00,0,0,0.081741336,27.09,27.9209,0.095905699,2018-01-01T09:00:00Z,1/1/2018 3:00,2018
1/1/2018 10:00,0,0,0.08348786,28.45,29.0241,0.077787998,2018-01-01T10:00:00Z,1/1/2018 4:00,2018
1/1/2018 11:00,0,0,0.086630054,31.49,32.2854,0.106314071,2018-01-01T11:00:00Z,1/1/2018 5:00,2018
1/1/2018 12:00,0,0,0.086398271,37.37,35.6456,0.110500689,2018-01-01T12:00:00Z,1/1/2018 6:00,2018
1/1/2018 13:00,0,0,0.079653457,42.21,37.3792,0.110520184,2018-01-01T13:00:00Z,1/1/2018 7:00,2018
1/1/2018 14:00,0.128004185,0.010488569,0.060768049,59.67,40.4234,0.079736054,2018-01-01T14:00:00Z,1/1/2018 8:00,2018
1/1/2018 15:00,0.030132911,0.060456049,0.053300885,64.49,41.9403,0.038288037,2018-01-01T15:00:00Z,1/1/2018 9:00,2018
1/1/2018 16:00,0.078929891,0.102115595,0.030933469,55.73,42.4546,0.03563152,2018-01-01T16:00:00Z,1/1/2018 10:00,2018
1/1/2018 17:00,0.140863148,0.157215082,0.01550218,40.89,41.7119,0.001350978,2018-01-01T17:00:00Z,1/1/2018 11:00,2018
1/1/2018 18:00,0.224436931,0.139502758,0.008462256,37.13,37.4091,0.000473485,2018-01-01T18:00:00Z,1/1/2018 12:00,2018
1/1/2018 19:00,0.177212484,0.142424306,0.005466108,34.28,32.8132,0.000473485,2018-01-01T19:00:00Z,1/1/2018 13:00,2018
1/1/2018 20:00,0.125786771,0.120262994,0.004057413,33.85,29.8083,0.000473485,2018-01-01T20:00:00Z,1/1/2018 14:00,2018
1/1/2018 21:00,0.078379762,0.114735678,0.003494826,32.65,29.9099,0.000473485,2018-01-01T21:00:00Z,1/1/2018 15:00,2018
1/1/2018 22:00,0.041252872,0.066252363,0.004331891,35.39,31.8893,0.000473485,2018-01-01T22:00:00Z,1/1/2018 16:00,2018
1/1/2018 23:00,0.011359459,0.01683048,0.004098178,54.6,41.3635,0.000473485,2018-01-01T23:00:00Z,1/1/2018 17:00,2018
1/2/2018 0:00,0,0,0.008372908,66.64,45.6028,0.000473485,2018-01-02T00:00:00Z,1/1/2018 18:00,2018
