date,hr_beg,90th Pctl Bid,80th Pctl Bid,70th Pctl Bid,60th Pctl Bid,50th Pctl Bid,30th Pctl Bid
2014-01-01,0,25.0,11.0,7.13,5.65,3.93,2.08
2014-01-01,1,18.55,12.63,8.11,6.48,5.55,2.11
2014-01-01,2,19.04,14.11,8.11,6.36,5.19,2.11
2014-01-01,3,20.24,14.11,10.0,8.11,5.55,2.11
2014-01-01,4,21.68,14.11,11.0,8.11,6.91,2.11
2014-01-01,5,23.43,14.11,11.0,8.43,8.0,2.11
2014-01-01,6,16.61,12.12,10.0,8.77,8.11,2.11
2014-01-01,7,17.65,13.85,11.11,10.0,8.11,2.11
2014-01-01,8,18.71,14.11,11.6,10.0,8.11,2.11
2014-01-01,9,17.28,14.11,11.73,10.0,8.11,2.11
2014-01-01,10,16.6,14.11,10.12,9.62,8.11,2.11
2014-01-01,11,15.0,12.3,8.95,7.4,5.9,2.11
2014-01-01,12,16.8,12.0,8.11,7.5,6.42,2.11
2014-01-01,13,16.52,13.94,8.13,7.63,6.27,2.11
2014-01-01,14,18.79,13.56,8.26,7.76,6.26,2.11
2014-01-01,15,17.74,12.58,8.53,7.15,5.65,2.11
2014-01-01,16,14.6,12.63,10.0,8.11,5.55,2.11
2014-01-01,17,15.52,11.36,10.0,8.11,5.55,2.11
2014-01-01,18,16.41,13.97,10.0,8.11,7.52,2.11
2014-01-01,19,17.77,14.11,10.02,9.52,8.11,2.11
2014-01-01,20,19.55,14.11,11.25,10.0,8.11,2.11
2014-01-01,21,21.55,14.11,11.91,10.46,8.11,2.11
2014-01-01,22,21.9,14.11,11.06,10.0,8.11,2.11
2014-01-01,23,16.97,14.11,8.11,6.58,5.55,2.11
2014-01-02,0,18.75,13.29,8.11,6.57,5.0,2.11
2014-01-02,1,16.84,12.81,8.11,6.68,5.0,2.11
2014-01-02,2,14.11,12.02,8.11,6.01,5.24,2.11
2014-01-02,3,15.0,12.02,8.11,6.59,5.54,2.11
2014-01-02,4,20.0,14.05,10.0,7.74,5.75,2.11
2014-01-02,5,18.2,14.11,10.0,8.11,6.59,2.11
2014-01-02,6,16.36,14.11,9.63,8.11,5.55,2.11
2014-01-02,7,16.14,14.11,11.1,9.5,7.24,2.11
2014-01-02,8,17.19,14.11,11.49,9.5,7.53,2.11
