date,hr_beg,90th Pctl Bid_REGUP,80th Pctl Bid_REGUP,70th Pctl Bid_REGUP,60th Pctl Bid_REGUP,50th Pctl Bid_REGUP,30th Pctl Bid_REGUP
2014-01-01,0,19.16,12.67,8.11,6.61,3.37,2.11
2014-01-01,1,17.82,9.61,6.45,5.31,3.37,2.11
2014-01-01,2,15.06,8.11,5.0,4.8,3.37,2.11
2014-01-01,3,13.0,8.79,8.04,4.0,3.42,2.11
2014-01-01,4,13.53,12.53,8.11,3.97,3.0,1.0
2014-01-01,5,14.08,12.67,8.11,4.37,3.0,1.0
2014-01-01,6,14.23,12.49,8.28,7.0,4.0,1.7
2014-01-01,7,15.0,12.59,9.39,8.11,5.0,2.99
2014-01-01,8,15.0,12.59,9.52,8.11,5.0,2.74
2014-01-01,9,15.0,12.59,9.55,8.11,5.0,2.76
2014-01-01,10,15.0,12.59,9.11,8.11,5.0,2.82
2014-01-01,11,12.65,12.3,8.53,8.11,4.0,2.11
2014-01-01,12,23.6,13.29,8.28,8.11,4.0,2.11
2014-01-01,13,22.04,11.0,8.11,6.0,5.0,2.11
2014-01-01,14,19.28,10.77,8.11,6.0,4.62,2.11
2014-01-01,15,13.73,9.56,8.11,4.0,3.39,2.11
2014-01-01,16,12.48,8.21,8.0,3.43,3.24,2.0
2014-01-01,17,12.26,8.21,6.63,4.12,3.0,1.0
2014-01-01,18,12.48,8.97,8.11,3.73,3.0,1.88
2014-01-01,19,12.65,9.1,8.11,4.08,3.0,1.03
2014-01-01,20,13.75,9.34,8.11,5.0,3.0,1.0
2014-01-01,21,13.94,9.53,8.11,3.79,3.0,1.0
2014-01-01,22,13.69,9.29,8.11,4.09,3.0,1.0
2014-01-01,23,16.97,10.91,8.11,6.0,4.0,2.11
2014-01-02,0,14.03,9.13,8.11,6.0,3.37,2.0
2014-01-02,1,12.48,8.21,8.11,5.0,3.37,2.0
2014-01-02,2,12.48,8.21,8.11,4.0,3.37,2.11
2014-01-02,3,12.18,8.21,8.11,4.0,3.42,2.11
2014-01-02,4,12.48,10.07,8.11,5.0,3.0,1.0
2014-01-02,5,12.48,10.0,8.11,5.0,3.0,2.11
2014-01-02,6,14.41,11.0,8.11,4.0,3.47,2.11
2014-01-02,7,14.95,12.48,8.11,8.0,4.0,2.4
2014-01-02,8,15.06,12.48,8.11,8.0,4.0,2.3
2014-01-02,9,15.07,12.48,8.11,8.0,4.0,2.42
2014-01-02,10,15.0,12.48,8.11,8.0,4.0,2.95
2014-01-02,11,12.58,10.0,8.11,5.0,3.5,2.09
2014-01-02,12,22.93,16.23,8.21,6.0,3.5,2.11
2014-01-02,13,17.31,12.48,8.11,6.0,3.5,2.11
2014-01-02,14,14.17,10.23,8.11,5.0,3.5,2.11
2014-01-02,15,9.66,8.11,4.0,3.5,3.5,2.0
2014-01-02,16,9.35,8.11,4.4,3.5,3.0,1.0
2014-01-02,17,8.21,7.27,4.38,3.5,3.0,1.0
2014-01-02,18,8.21,6.84,3.91,3.5,3.0,1.0
2014-01-02,19,8.21,5.0,3.5,3.5,3.0,1.52
2014-01-02,20,8.21,6.5,3.5,3.0,2.73,1.0
2014-01-02,21,9.55,8.11,3.5,3.0,2.73,1.0
2014-01-02,22,9.33,8.11,4.0,3.5,3.0,1.0
2014-01-02,23,12.48,8.21,7.0,6.0,3.5,2.11
2014-01-03,0,17.01,10.08,8.11,6.0,3.5,2.0
2014-01-03,1,12.48,8.21,7.97,5.0,3.5,2.11
2014-01-03,2,11.81,8.11,5.0,4.0,3.5,2.0
2014-01-03,3,10.0,8.11,5.0,3.62,3.5,2.11
2014-01-03,4,12.77,8.88,8.11,4.35,3.0,1.52
2014-01-03,5,14.34,9.08,8.11,3.96,3.0,2.11
2014-01-03,6,20.0,13.62,8.14,8.11,4.08,2.11
2014-01-03,7,20.0,14.08,8.14,8.11,6.0,3.0
2014-01-03,8,20.0,14.13,8.14,8.11,6.0,3.0
2014-01-03,9,20.0,14.12,8.14,8.11,6.0,3.0
2014-01-03,10,21.17,12.38,8.11,8.0,6.0,3.0
2014-01-03,11,12.0,9.74,8.11,6.0,3.5,1.97
2014-01-03,12,29.0,26.56,12.38,8.11,3.65,2.11
2014-01-03,13,32.0,20.36,12.0,8.11,3.37,2.11
2014-01-03,14,14.42,11.06,8.14,8.11,3.37,2.11
