date,hr_beg,NSPIN_Quantity,REGDN_Quantity,REGUP_Quantity,RRS_Quantity
2018-12-24,6,1198,278,211,2985
2018-12-24,7,1198,207,176,2985
2018-12-24,8,1460,226,203,2985
2018-12-24,9,1460,188,215,2985
2018-12-24,10,1460,232,292,2985
2018-12-24,11,1460,428,460,2985
2018-12-24,12,2178,274,605,2905
2018-12-24,13,2178,252,297,2905
2018-12-24,14,2178,194,316,2905
2018-12-24,15,2178,191,305,2905
2018-12-24,16,1742,254,312,2842
2018-12-24,17,1742,301,275,2842
2018-12-24,18,1742,279,269,2842
2018-12-24,19,1742,235,248,2842
2018-12-24,20,1574,201,214,2842
2018-12-24,21,1574,185,212,2842
2018-12-24,22,1574,219,322,2842
2018-12-24,23,1574,244,489,2842
2018-12-25,0,1466,308,196,2842
2018-12-25,1,1466,312,177,2842
2018-12-25,2,1466,304,182,2842
2018-12-25,3,1466,357,223,2842
2018-12-25,4,1198,412,307,2985
2018-12-25,5,1198,347,206,2985
2018-12-25,6,1198,278,211,2985
2018-12-25,7,1198,207,176,2985
2018-12-25,8,1460,226,203,2985
2018-12-25,9,1460,188,215,2985
2018-12-25,10,1460,232,292,2985
2018-12-25,11,1460,428,460,2985
2018-12-25,12,2178,274,605,2905
2018-12-25,13,2178,252,297,2905
2018-12-25,14,2178,194,316,2905
2018-12-25,15,2178,191,305,2905
2018-12-25,16,1742,254,312,2842
2018-12-25,17,1742,301,275,2842
2018-12-25,18,1742,279,269,2842
2018-12-25,19,1742,235,248,2842
2018-12-25,20,1574,201,214,2842
2018-12-25,21,1574,185,212,2842
2018-12-25,22,1574,219,322,2842
2018-12-25,23,1574,244,489,2842
2018-12-26,0,1466,308,196,2842
2018-12-26,1,1466,312,177,2842
2018-12-26,2,1466,304,182,2842
2018-12-26,3,1466,357,223,2842
2018-12-26,4,1198,412,307,2985
2018-12-26,5,1198,347,206,2985
2018-12-26,6,1198,278,211,2985
2018-12-26,7,1198,207,176,2985
2018-12-26,8,1460,226,203,2985
2018-12-26,9,1460,188,215,2985
2018-12-26,10,1460,232,292,2985
2018-12-26,11,1460,428,460,2985
2018-12-26,12,2178,274,605,2905
2018-12-26,13,2178,252,297,2905
2018-12-26,14,2178,194,316,2905
2018-12-26,15,2178,191,305,2905
2018-12-26,16,1742,254,312,2842
2018-12-26,17,1742,301,275,2842
2018-12-26,18,1742,279,269,2842
2018-12-26,19,1742,235,248,2842
2018-12-26,20,1574,201,214,2842
2018-12-26,21,1574,185,212,2842
2018-12-26,22,1574,219,322,2842
2018-12-26,23,1574,244,489,2842
2018-12-27,0,1466,308,196,2842
2018-12-27,1,1466,312,177,2842
2018-12-27,2,1466,304,182,2842
2018-12-27,3,1466,357,223,2842
2018-12-27,4,1198,412,307,2985
2018-12-27,5,1198,347,206,2985
2018-12-27,6,1198,278,211,2985
2018-12-27,7,1198,207,176,2985
2018-12-27,8,1460,226,203,2985
2018-12-27,9,1460,188,215,2985
2018-12-27,10,1460,232,292,2985
2018-12-27,11,1460,428,460,2985
2018-12-27,12,2178,274,605,2905
2018-12-27,13,2178,252,297,2905
2018-12-27,14,2178,194,316,2905
2018-12-27,15,2178,191,305,2905
2018-12-27,16,1742,254,312,2842
2018-12-27,17,1742,301,275,2842
2018-12-27,18,1742,279,269,2842
2018-12-27,19,1742,235,248,2842
2018-12-27,20,1574,201,214,2842
2018-12-27,21,1574,185,212,2842
2018-12-27,22,1574,219,322,2842
2018-12-27,23,1574,244,489,2842
2018-12-28,0,1466,308,196,2842
2018-12-28,1,1466,312,177,2842
2018-12-28,2,1466,304,182,2842
2018-12-28,3,1466,357,223,2842
2018-12-28,4,1198,412,307,2985
2018-12-28,5,1198,347,206,2985
2018-12-28,6,1198,278,211,2985
2018-12-28,7,1198,207,176,2985
2018-12-28,8,1460,226,203,2985
2018-12-28,9,1460,188,215,2985
2018-12-28,10,1460,232,292,2985
2018-12-28,11,1460,428,460,2985
2018-12-28,12,2178,274,605,2905
2018-12-28,13,2178,252,297,2905
2018-12-28,14,2178,194,316,2905
2018-12-28,15,2178,191,305,2905
2018-12-28,16,1742,254,312,2842
2018-12-28,17,1742,301,275,2842
2018-12-28,18,1742,279,269,2842
2018-12-28,19,1742,235,248,2842
2018-12-28,20,1574,201,214,2842
2018-12-28,21,1574,185,212,2842
2018-12-28,22,1574,219,322,2842
2018-12-28,23,1574,244,489,2842
2018-12-29,0,1466,308,196,2842
2018-12-29,1,1466,312,177,2842
2018-12-29,2,1466,304,182,2842
2018-12-29,3,1466,357,223,2842
2018-12-29,4,1198,412,307,2985
2018-12-29,5,1198,347,206,2985
2018-12-29,6,1198,278,211,2985
2018-12-29,7,1198,207,176,2985
2018-12-29,8,1460,226,203,2985
2018-12-29,9,1460,188,215,2985
2018-12-29,10,1460,232,292,2985
2018-12-29,11,1460,428,460,2985
2018-12-29,12,2178,274,605,2905
2018-12-29,13,2178,252,297,2905
2018-12-29,14,2178,194,316,2905
2018-12-29,15,2178,191,305,2905
2018-12-29,16,1742,254,312,2842
2018-12-29,17,1742,301,275,2842
2018-12-29,18,1742,279,269,2842
2018-12-29,19,1742,235,248,2842
2018-12-29,20,1574,201,214,2842
2018-12-29,21,1574,185,212,2842
2018-12-29,22,1574,219,322,2842
2018-12-29,23,1574,244,489,2842
2018-12-30,0,1466,308,196,2842
2018-12-30,1,1466,312,177,2842
2018-12-30,2,1466,304,182,2842
