date,hr_beg,price_DAH_Down Regulation,vol_DAH_Down Regulation,price_DAH_Up Regulation,vol_DAH_Up Regulation,price_DAH_Non-Spinning Reserve,vol_DAH_Non-Spinning Reserve,price_DAH_Responsive Reserve,vol_DAH_Responsive Reserve
2014-01-01,00:00:00,5.65,319.0,9.72,355.0,1.0,1500.0,11.72,2800.0
2014-01-01,01:00:00,5.55,284.0,8.22,327.0,1.0,1500.0,8.73,2800.0
2014-01-01,02:00:00,5.55,311.0,7.57,329.0,1.0,1500.0,8.11,2800.0
2014-01-01,03:00:00,8.11,360.0,4.81,267.0,1.0,1500.0,7.25,2800.0
2014-01-01,04:00:00,8.11,380.0,10.0,372.0,1.0,1500.0,10.0,2800.0
2014-01-01,05:00:00,8.8,508.0,10.0,558.0,1.0,1500.0,9.0,2800.0
2014-01-01,06:00:00,8.0,491.0,21.81,767.0,1.0,1500.0,20.81,2800.0
2014-01-01,07:00:00,4.44,368.0,10.22,394.0,1.0,1500.0,14.22,2800.0
2014-01-01,08:00:00,3.0,313.0,12.16,404.0,1.0,1500.0,16.16,2800.0
2014-01-01,09:00:00,4.0,364.0,6.74,453.0,1.0,1500.0,10.17,2800.0
2014-01-01,10:00:00,5.55,350.0,4.0,503.0,1.0,1500.0,5.68,2800.0
2014-01-01,11:00:00,8.59,364.0,3.0,437.0,1.0,1500.0,4.0,2800.0
2014-01-01,12:00:00,10.0,360.0,3.0,399.0,1.0,1500.0,3.37,2800.0
2014-01-01,13:00:00,8.73,324.0,4.0,636.0,1.0,1500.0,4.0,2800.0
2014-01-01,14:00:00,10.0,349.0,1.0,285.0,1.0,1500.0,4.0,2800.0
2014-01-01,15:00:00,8.11,285.0,1.0,279.0,1.0,1500.0,3.45,2800.0
2014-01-01,16:00:00,8.73,317.0,3.0,411.0,1.0,1500.0,3.58,2800.0
2014-01-01,17:00:00,5.65,472.0,14.95,644.0,1.0,1500.0,14.95,2800.0
2014-01-01,18:00:00,3.37,349.0,11.42,562.0,1.0,1500.0,15.42,2800.0
2014-01-01,19:00:00,4.25,341.0,3.23,320.0,1.0,1500.0,9.15,2800.0
2014-01-01,20:00:00,8.11,354.0,5.48,336.0,1.0,1500.0,12.86,2800.0
