date,hr_beg,ACTUAL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE
2013-12-30,6,1067.85,1128.8
2013-12-30,7,1338.42,1253.9
2013-12-30,8,1705.17,1554.8
2013-12-30,9,1877.95,1804.5
2013-12-30,10,2074.81,1915.0
2013-12-30,11,2092.92,2046.8
2013-12-30,12,2051.23,2004.1
2013-12-30,13,2341.49,1952.6
2013-12-30,14,2556.03,2057.9
2013-12-30,15,1859.97,2035.7
2013-12-30,16,1245.98,1480.7
2013-12-30,17,1005.76,1040.7
2013-12-30,18,863.41,935.1
2013-12-30,19,924.59,796.8
2013-12-30,20,908.95,893.9
2013-12-30,21,741.02,776.4
2013-12-30,22,704.27,769.3
2013-12-30,23,681.26,760.0
2013-12-31,0,728.59,915.3
2013-12-31,1,906.07,1109.5
2013-12-31,2,835.21,923.4
2013-12-31,3,897.65,956.1
2013-12-31,4,710.89,1006.9
2013-12-31,5,488.79,1022.4
2013-12-31,6,495.39,684.3
2013-12-31,7,552.6,600.5
2013-12-31,8,407.39,513.9
2013-12-31,9,371.04,548.3
2013-12-31,10,467.02,612.0
2013-12-31,11,494.55,610.5
2013-12-31,12,351.59,581.6
2013-12-31,13,477.08,633.5
2013-12-31,14,773.22,875.8
2013-12-31,15,1128.5,1287.3
2013-12-31,16,1522.34,1559.0
2013-12-31,17,2599.1,1786.2
2013-12-31,18,3611.46,2692.0
2013-12-31,19,3925.6,3464.0
2013-12-31,20,3782.31,3630.7
2013-12-31,21,4145.01,3455.8
2013-12-31,22,4299.15,3107.6
2013-12-31,23,4179.16,4136.9
2014-01-01,0,5967.05,4706.7
2014-01-01,1,7407.35,5343.5
2014-01-01,2,7698.56,7536.9
2014-01-01,3,7667.45,7218.1
2014-01-01,4,7601.06,7027.1
2014-01-01,5,7461.49,7365.7
2014-01-01,6,7281.48,7193.9
2014-01-01,7,7130.77,7031.833333333333
2014-01-01,8,7336.28,6952.725
2014-01-01,9,7333.28,6950.660000000001
2014-01-01,10,7407.28,6900.783333333334
2014-01-01,11,7376.86,6842.4857142857145
2014-01-01,12,7262.05,6782.7875
2014-01-01,13,7160.14,6711.522222222224
2014-01-01,14,6877.33,6562.0599999999995
2014-01-01,15,5739.79,6025.7
2014-01-01,16,4836.64,5243.341666666667
2014-01-01,17,4684.72,4539.130769230769
2014-01-01,18,5085.14,4045.621428571429
2014-01-01,19,4684.72,3738.0866666666666
2014-01-01,20,4259.16,3500.1875
2014-01-01,21,3680.78,3321.1117647058823
2014-01-01,22,3094.21,3095.9666666666667
2014-01-01,23,3115.45,3597.4526315789476
2014-01-02,0,5626.1,5102.82
2014-01-02,1,7312.46,6206.380952380951
2014-01-02,2,7272.19,6500.045454545455
2014-01-02,3,7350.73,6517.199999999999
2014-01-02,4,7506.69,6517.033333333333
2014-01-02,5,7541.2,6448.975999999999
2014-01-02,6,7246.84,6238.465384615382
2014-01-02,7,7027.72,5844.588888888889
2014-01-02,8,6580.31,5487.535714285716
2014-01-02,9,6545.57,5229.2275862068955
2014-01-02,10,6194.05,5160.929999999999
2014-01-02,11,6049.86,4953.751612903226
2014-01-02,12,6160.98,4392.309375000001
2014-01-02,13,5397.54,3801.048484848485
2014-01-02,14,4487.49,3346.573529411764
2014-01-02,15,4173.08,2843.425714285714
2014-01-02,16,3369.06,2585.8888888888887
2014-01-02,17,2303.77,2235.791891891892
2014-01-02,18,1821.11,1876.286842105263
2014-01-02,19,1507.05,1593.1153846153848
2014-01-02,20,1331.66,1406.9975000000004
2014-01-02,21,1165.61,1272.2439024390249
2014-01-02,22,895.44,1125.111904761905
2014-01-02,23,687.09,1046.9906976744185
2014-01-03,0,783.16,1178.35
2014-01-03,1,1227.76,1541.1022222222223
2014-01-03,2,1874.85,2236.032608695653
2014-01-03,3,2699.08,3060.7085106382983
2014-01-03,4,3692.9,3879.041666666668
2014-01-03,5,4909.61,4564.830612244898
2014-01-03,6,6241.08,5130.808163265307
2014-01-03,7,6800.98,5426.651020408162
2014-01-03,8,6977.47,5714.644897959187
2014-01-03,9,7174.86,5967.500000000001
2014-01-03,10,7575.89,6126.746938775508
2014-01-03,11,8078.87,6300.110204081632
2014-01-03,12,8290.62,6546.7795918367365
2014-01-03,13,8368.87,6803.142857142857
2014-01-03,14,8039.11,6718.614285714288
2014-01-03,15,7404.9,6045.363265306123
2014-01-03,16,7730.83,5829.953061224488
2014-01-03,17,7977.45,5820.030612244898
2014-01-03,18,8131.83,5978.826530612246
2014-01-03,19,8212.17,6086.242857142857
2014-01-03,20,8347.36,6231.438775510204
2014-01-03,21,8494.1,6408.426530612248
2014-01-03,22,8490.99,6535.148979591838
2014-01-03,23,8412.06,6914.036734693878
2014-01-04,0,8598.97,7555.21224489796
2014-01-04,1,8850.75,8093.318367346939
2014-01-04,2,8898.54,8362.048979591835
2014-01-04,3,9058.98,8482.255102040814
2014-01-04,4,9170.57,8536.816326530612
2014-01-04,5,9258.67,8566.246938775512
2014-01-04,6,9420.71,8525.561224489797
